,Red,Green,Blue,,,
Minimum Color,196,34,33,,,
Maximum Color,42,85,152,,,
Minimum Value,40%,,,,,
Maximum Value,60%,,,,,
,,,,,,
Sample Data: 2008 Presidential Election,,,,,,
State,State Symbol,Values,Red,Green,Blue,Color Hex
Alabama,AL,38.7%,196,34,33,#C42221
Alaska,AK,37.9%,196,34,33,#C42221
Arizona,AZ,45.1%,157,47,63,#9C2F3F
Arkansas,AR,38.9%,196,34,33,#C42221
California,CA,61.0%,42,85,152,#2A5598
Colorado,CO,53.7%,91,69,114,#5A4472
Connecticut,CT,60.6%,42,85,152,#2A5598
Delaware,DE,61.9%,42,85,152,#2A5598
District of Columbia,DC,92.5%,42,85,152,#2A5598
Florida,FL,51.0%,111,62,99,#6F3E62
Georgia,GA,47.0%,142,52,75,#8E334A
Hawaii,HI,71.9%,42,85,152,#2A5598
Idaho,ID,36.1%,196,34,33,#C42221
Illinois,IL,61.9%,42,85,152,#2A5598
Indiana,IN,50.0%,119,59,92,#773B5C
Iowa,IA,53.9%,89,70,116,#584573
Kansas,KS,41.7%,183,38,43,#B7262A
Kentucky,KY,41.2%,187,37,40,#BA2427
Louisiana,LA,39.9%,196,34,33,#C42221
Maine,ME,57.7%,60,79,138,#3B4F8A
Maryland,MD,61.9%,42,85,152,#2A5598
Massachusetts,MA,61.8%,42,85,152,#2A5598
Michigan,MI,57.4%,62,78,137,#3D4E88
Minnesota,MN,54.1%,88,70,117,#574574
Mississippi,MS,43.0%,173,42,51,#AC2932
Missouri,MO,49.3%,124,58,88,#7C3958
Montana,MT,47.3%,140,52,76,#8C344C
Nebraska,NE,41.6%,184,38,43,#B7262A
Nevada,NV,55.2%,79,73,123,#4F487B
New Hampshire,NH,54.1%,87,70,117,#574675
New Jersey,NJ,57.3%,63,78,136,#3F4E87
New Mexico,NM,56.9%,66,77,134,#414D85
New York,NY,62.9%,42,85,152,#2A5598
North Carolina,NC,49.7%,121,59,91,#793A5A
North Dakota,ND,44.6%,160,46,60,#A02D3C
Ohio,OH,51.5%,107,63,101,#6B3F65
Oklahoma,OK,34.4%,196,34,33,#C42221
Oregon,OR,56.8%,67,77,133,#434C84
Pennsylvania,PA,54.5%,84,71,119,#544677
Rhode Island,RI,62.9%,42,85,152,#2A5598
South Carolina,SC,44.9%,158,46,62,#9E2E3E
South Dakota,SD,44.8%,159,46,61,#9F2E3D
Tennessee,TN,41.8%,182,39,44,#B5262B
Texas,TX,43.7%,168,43,55,#A72B36
Utah,UT,34.4%,196,34,33,#C42221
Vermont,VT,67.5%,42,85,152,#2A5598
Virginia,VA,52.6%,99,66,108,#62426C
Washington,WA,57.7%,60,79,138,#3C4F8A
West Virginia,WV,42.6%,176,41,48,#B02830
Wisconsin,WI,56.2%,71,75,130,#474B81
Wyoming,WY,32.5%,196,34,33,#C42221
