,Red,Green,Blue,Hex Value,,
Minimum Color,249,50,50,#F93232,,
Maximum Color,99,190,123,#63BE7B,,
Minimum Value,40%,,,,,
Maximum Value,60%,,,,,
,,,,,,
Sample Data: 2008 Presidential Election,,,,,,
State,State Symbol,Values,Red,Green,Blue,Color Hex
Alabama,AL,45.0%,212,85,68,#D35544
Alaska,AK,37.9%,249,50,50,#F93232
Arizona,AZ,45.1%,211,86,69,#D25544
Arkansas,AR,38.9%,249,50,50,#F93232
California,CA,61.0%,99,190,123,#63BE7B
Colorado,CO,53.7%,147,146,100,#929163
Connecticut,CT,60.6%,99,190,123,#63BE7B
Delaware,DE,61.9%,99,190,123,#63BE7B
District of Columbia,DC,92.5%,99,190,123,#63BE7B
Florida,FL,51.0%,166,127,90,#A67F5A
Georgia,GA,47.0%,197,99,76,#C4624B
Hawaii,HI,71.9%,99,190,123,#63BE7B
Idaho,ID,36.1%,249,50,50,#F93232
Illinois,IL,61.9%,99,190,123,#63BE7B
Indiana,IN,50.0%,174,120,86,#AE7756
Iowa,IA,53.9%,145,148,101,#909364
Kansas,KS,41.7%,237,62,56,#EC3D38
Kentucky,KY,41.2%,240,58,54,#F03A36
Louisiana,LA,39.9%,249,50,50,#F93232
Maine,ME,57.7%,116,174,115,#74AD72
Maryland,MD,61.9%,99,190,123,#63BE7B
Massachusetts,MA,61.8%,99,190,123,#63BE7B
Michigan,MI,57.4%,118,172,114,#76AC71
Minnesota,MN,54.1%,144,148,101,#8F9465
Mississippi,MS,43.0%,227,71,61,#E2463C
Missouri,MO,49.3%,179,115,84,#B37353
Montana,MT,47.3%,195,101,76,#C2644C
Nebraska,NE,41.6%,237,61,56,#ED3D37
Nevada,NV,55.2%,135,156,105,#879C69
New Hampshire,NH,54.1%,143,149,102,#8F9465
New Jersey,NJ,57.3%,119,171,113,#77AA71
New Mexico,NM,56.9%,122,168,112,#7AA86F
New York,NY,62.9%,99,190,123,#63BE7B
North Carolina,NC,49.7%,176,118,85,#B07555
North Dakota,ND,44.6%,214,82,67,#D65242
Ohio,OH,51.5%,163,131,92,#A2825B
Oklahoma,OK,34.4%,249,50,50,#F93232
Oregon,OR,56.8%,123,167,111,#7BA76F
Pennsylvania,PA,54.5%,140,151,103,#8C9766
Rhode Island,RI,62.9%,99,190,123,#63BE7B
South Carolina,SC,44.9%,212,84,68,#D45443
South Dakota,SD,44.8%,213,83,67,#D55343
Tennessee,TN,41.8%,235,63,57,#EB3E38
Texas,TX,43.7%,221,76,63,#DD4B3F
Utah,UT,34.4%,249,50,50,#F93232
Vermont,VT,67.5%,99,190,123,#63BE7B
Virginia,VA,52.6%,154,138,96,#9A8A60
Washington,WA,57.7%,117,174,114,#74AD72
West Virginia,WV,42.6%,230,68,59,#E5443B
Wisconsin,WI,56.2%,127,164,109,#7FA36D
Wyoming,WY,32.5%,249,50,50,#F93232
